Moniker,Main Url,Bias,Reliability,Mediatype,has_wikipedia_page,wikipedia_title,wikipedia_avg_daily_views,wikipedia_interest_score,source_prominence_score,robust_influence_score
The Blaze,https://www.theblaze.com/,13.33,30.95,Web/Articles,True,Blaze Media,355.0,3.551338797814208,30,11.49
The Bulwark,http://thebulwark.com,-3.36,34.25,Web/Articles,True,The Bulwark (website),396.0,3.9636065573770494,30,11.77
The Bulwark Podcast,https://podcast.thebulwark.com/,-14.95,32.47,Podcast/Audio,False,,,0.0,50,15.0
The Center Square,http://thecentersquare.com,3.84,40.29,Web/Articles,True,The Center Square,35.0,0.3519125683060109,30,9.25
The Charlie Kirk Show,https://charliekirk.com/podcasts/,26.09,13.38,Podcast/Audio,True,Charlie Kirk,5389.0,53.88767759562841,50,52.72
The Christian Post,http://christianpost.com,10.65,36.16,Web/Articles,True,The Christian Post,31.0,0.3146174863387978,30,9.22
The College Fix,http://thecollegefix.com,10.31,34.39,Web/Articles,True,The College Fix,11.0,0.10707650273224044,30,9.07
The Daily Signal,https://www.dailysignal.com/,17.1,20.15,Web/Articles,True,The Daily Signal,72.0,0.721639344262295,90,27.51
The Dispatch,http://thedispatch.com,5.33,41.19,Web/Articles,True,The Dispatch,183.0,1.8314480874316938,30,10.28
The Dispatch Podcast,https://thedispatch.com/podcast/dispatch-podcast/,5.98,38.81,Podcast/Audio,True,The Dispatch,183.0,1.8314480874316938,50,16.28
The Economist,https://www.economist.com/,-1.93,42.21,Web/Articles,True,The Economist,1176.0,11.757814207650274,30,17.23
The Epoch Times,http://theepochtimes.com,14.73,26.99,Web/Articles,True,The Epoch Times,2277.0,22.76636612021858,30,24.94
The Federalist,http://thefederalist.com/,18.39,22.16,Web/Articles,True,The Federalist Papers,963.0,9.632677595628415,30,15.74
The Gateway Pundit,https://www.thegatewaypundit.com/,23.56,14.97,Web/Articles,True,The Gateway Pundit,1315.0,13.147240437158471,30,18.2
The Globe and Mail,http://theglobeandmail.com,-1.14,43.99,Web/Articles,True,The Globe and Mail,329.0,3.286448087431694,30,11.3
The Grayzone,http://thegrayzone.com,-24.87,17.88,Web/Articles,True,The Grayzone,679.0,6.785491803278688,30,13.75
The Guardian,https://www.theguardian.com/,-8.14,40.15,Web/Articles,True,The Guardian,3613.0,36.125245901639346,30,34.29
The Hartmann Report,http://hartmannreport.com,-22.32,17.11,Web/Articles,True,Thom Hartmann,210.0,2.100081967213115,30,10.47
The Hill,https://thehill.com/,-1.28,41.76,Web/Articles,True,The Hill (newspaper),813.0,8.132650273224044,70,26.69
The Independent,https://www.independent.co.uk/us,-6.88,38.49,Web/Articles,True,The Independent,904.0,9.040928961748634,30,15.33
The Intercept,https://theintercept.com/,-14.01,37.43,Web/Articles,True,The Intercept,423.0,4.233715846994535,30,11.96
The Jimmy Dore Show,https://jimmydore.com/,-25.07,12.33,Podcast/Audio,True,Jimmy Dore,667.0,6.668032786885246,50,19.67
The Lever,http://levernews.com,-17.42,36.18,Web/Articles,True,The Lever,31.0,0.31308743169398906,30,9.22
The Mark Levin Show,https://www.marklevinshow.com/,30.45,10.84,Podcast/Audio,True,The Mark Levin Show,63.0,0.6320491803278688,50,15.44
The Marshall Project,http://themarshallproject.org,-6.0,46.17,Web/Articles,True,The Marshall Project,59.0,0.5946448087431694,30,9.42
The Megyn Kelly Show,https://www.devilmaycaremedia.com/megynkellyshow,14.91,30.74,Podcast/Audio,True,Megyn Kelly,5670.0,56.69622950819672,50,54.69
The Nation,https://www.thenation.com/,-18.99,30.85,Web/Articles,True,The Nation,337.0,3.371530054644809,30,11.36
The New Abnormal,https://www.thedailybeast.com/franchise/the-new-abnormal,-23.2,15.42,Podcast/Audio,True,The New Abnormal,426.0,4.264098360655738,30,11.98
The New York Times,https://www.nytimes.com/,-8.06,41.03,Web/Articles,True,The New York Times,4876.0,48.758005464480874,90,61.13
The New Yorker,https://www.newyorker.com/news,-12.25,40.91,Web/Articles,True,The New Yorker,992.0,9.917377049180327,30,15.94
The People's Voice,http://thepeoplesvoice.tv,24.5,14.32,Web/Articles,True,The People's Voice,9.0,0.09327868852459016,30,9.07
The Post & Email,http://thepostemail.com,23.42,15.22,Web/Articles,False,,,0.0,30,9.0
The Post Millennial,http://thepostmillennial.com,12.14,31.43,Web/Articles,True,The Post Millennial,112.0,1.1157923497267759,30,9.78
The Root,http://theroot.com,-18.47,26.47,Web/Articles,True,The Root,10.0,0.10062841530054645,30,9.07
The Rubin Report,https://podcasts.apple.com/us/podcast/the-rubin-report/id1052842770,22.97,22.24,Podcast/Audio,True,The Rubin Report,140.0,1.3982513661202185,30,9.98
The Spectator World,http://thespectator.com,12.79,28.3,Web/Articles,True,The Spectator,650.0,6.50431693989071,30,13.55
The Tony Michaels Podcast,https://pod.link/1561049560,-30.67,13.73,Podcast/Audio,False,,,0.0,50,15.0
The Verge,http://theverge.com,-7.23,38.14,Web/Articles,True,The Verge,276.0,2.7628142076502735,30,10.93
The Washington Free Beacon,https://freebeacon.com/,14.27,23.86,Web/Articles,True,The Washington Free Beacon,154.0,1.544207650273224,30,10.08
The Weather Channel,http://weather.com,-1.85,46.2,Web/Articles,True,The Weather Channel,715.0,7.151939890710382,30,14.01
The Week,https://www.theweek.com/,-10.69,38.39,Web/Articles,True,The Week,147.0,1.4748360655737704,30,10.03
The Weekly Show with Jon Stewart,https://www.youtube.com/@WeeklyShowPodcast,-18.08,32.33,Podcast/Audio,False,,,0.0,50,15.0
The Will Cain Podcast,https://radio.foxnews.com/podcast/will-cain-podcast,15.11,29.33,Podcast/Audio,False,,,0.0,50,15.0
TheGrio,http://thegrio.com,-10.82,39.55,Web/Articles,True,TheGrio,160.0,1.5961748633879782,30,10.12
